LBUSTRUU Index,,LUACTRUU Index,
1990/1/1,397.2,1990/1/1,453.8
1990/1/2,397.08,1990/1/2,453.66
1990/1/3,396.36,1990/1/3,452.75
1990/1/4,396.88,1990/1/4,452.98
1990/1/5,396.72,1990/1/5,452.57
1990/1/6,396.72,1990/1/6,452.57
1990/1/7,396.72,1990/1/7,452.57
1990/1/8,396.72,1990/1/8,452.61
1990/1/9,396.8,1990/1/9,452.61
1990/1/10,396.92,1990/1/10,452.52
1990/1/11,396.96,1990/1/11,452.61
1990/1/12,396.32,1990/1/12,451.39
1990/1/13,396.32,1990/1/13,451.39
1990/1/14,396.32,1990/1/14,451.39
1990/1/15,396.6,1990/1/15,451.8
1990/1/16,395.01,1990/1/16,450.93
1990/1/17,395.13,1990/1/17,451.11
1990/1/18,393.03,1990/1/18,448.3
1990/1/19,393.98,1990/1/19,449.8
1990/1/20,393.98,1990/1/20,449.8
1990/1/21,393.98,1990/1/21,449.8
1990/1/22,394.14,1990/1/22,449.89
1990/1/23,394.54,1990/1/23,450.48
1990/1/24,392.95,1990/1/24,447.98
1990/1/25,392.31,1990/1/25,447.03
1990/1/26,390.88,1990/1/26,445.08
1990/1/27,390.88,1990/1/27,445.08
1990/1/28,390.88,1990/1/28,445.08
1990/1/29,391.28,1990/1/29,445.58
1990/1/30,390.76,1990/1/30,444.9
1990/1/31,392.48,1990/1/31,448.15
1990/2/1,393.02,1990/2/1,448.88
1990/2/2,392,1990/2/2,447.22
1990/2/3,392,1990/2/3,447.22
1990/2/4,392,1990/2/4,447.22
1990/2/5,391.84,1990/2/5,446.91
1990/2/6,391.29,1990/2/6,446.06
1990/2/7,391.49,1990/2/7,446.19
1990/2/8,392.2,1990/2/8,447.04
1990/2/9,394.24,1990/2/9,451.08
1990/2/10,394.24,1990/2/10,451.08
1990/2/11,394.24,1990/2/11,451.08
1990/2/12,393.65,1990/2/12,450.45
1990/2/13,395.22,1990/2/13,451.62
1990/2/14,395.26,1990/2/14,451.62
1990/2/15,393.77,1990/2/15,449.82
1990/2/16,394.16,1990/2/16,450.09
1990/2/17,394.16,1990/2/17,450.09
1990/2/18,394.16,1990/2/18,450.09
1990/2/19,394.16,1990/2/19,450.09
1990/2/20,391.14,1990/2/20,446.24
1990/2/21,391.29,1990/2/21,446.28
1990/2/22,392.9,1990/2/22,448.21
1990/2/23,392.98,1990/2/23,448.34
1990/2/24,392.98,1990/2/24,448.34
1990/2/25,392.98,1990/2/25,448.34
1990/2/26,394.47,1990/2/26,450.41
1990/2/27,395.34,1990/2/27,451.75
1990/2/28,393.75,1990/2/28,449.45
1990/3/1,392.47,1990/3/1,448.12
1990/3/2,393.29,1990/3/2,448.93
1990/3/3,393.29,1990/3/3,448.93
1990/3/4,393.29,1990/3/4,448.93
1990/3/5,391.64,1990/3/5,446.72
1990/3/6,392.74,1990/3/6,448.16
1990/3/7,393.06,1990/3/7,448.75
1990/3/8,393.33,1990/3/8,449.15
1990/3/9,392.03,1990/3/9,447.04
1990/3/10,392.03,1990/3/10,447.04
1990/3/11,392.03,1990/3/11,447.04
1990/3/12,392.43,1990/3/12,447.8
1990/3/13,391.01,1990/3/13,445.96
1990/3/14,392.66,1990/3/14,448.03
1990/3/15,392.55,1990/3/15,448.16
1990/3/16,394,1990/3/16,449.82
1990/3/17,394,1990/3/17,449.82
1990/3/18,394,1990/3/18,449.82
1990/3/19,394.32,1990/3/19,450.32
1990/3/20,395.38,1990/3/20,451.94
1990/3/21,395.03,1990/3/21,451.53
1990/3/22,395.34,1990/3/22,451.71
1990/3/23,395.74,1990/3/23,452.21
1990/3/24,395.74,1990/3/24,452.21
1990/3/25,395.74,1990/3/25,452.21
1990/3/26,396.44,1990/3/26,452.88
1990/3/27,396.13,1990/3/27,452.57
1990/3/28,396.56,1990/3/28,453.06
1990/3/29,395.07,1990/3/29,451.22
1990/3/30,394.04,1990/3/30,449.86
1990/3/31,394.04,1990/3/31,449.86
1990/4/1,394.04,1990/4/1,449.86
1990/4/2,394.48,1990/4/2,450
1990/4/3,394.87,1990/4/3,450.63
1990/4/4,396.6,1990/4/4,453.02
1990/4/5,396.52,1990/4/5,452.88
1990/4/6,396.72,1990/4/6,453.06
1990/4/7,396.72,1990/4/7,453.06
1990/4/8,396.72,1990/4/8,453.06
1990/4/9,396.45,1990/4/9,452.66
1990/4/10,396.45,1990/4/10,452.57
1990/4/11,396.52,1990/4/11,452.84
1990/4/12,396.05,1990/4/12,451.76
1990/4/13,396.05,1990/4/13,451.76
1990/4/14,396.05,1990/4/14,451.76
1990/4/15,396.05,1990/4/15,451.76
1990/4/16,395.97,1990/4/16,451.4
1990/4/17,394.32,1990/4/17,449.37
1990/4/18,391.99,1990/4/18,446.94
1990/4/19,391.91,1990/4/19,446.9
1990/4/20,391.52,1990/4/20,445.37
1990/4/21,391.52,1990/4/21,445.37
1990/4/22,391.52,1990/4/22,445.37
1990/4/23,391.09,1990/4/23,445.1
1990/4/24,390.69,1990/4/24,444.56
1990/4/25,390.61,1990/4/25,444.65
1990/4/26,389.47,1990/4/26,442.99
1990/4/27,389.71,1990/4/27,443.3
